NMT stop_remote_node 0xFF 0x02
NMT start_remote_node 0xFF 0x01
NMT reset_application 0xFF 0x81
controlword disable_voltage 0xFFFF 0x1
controlword sm_shutdown 0xFFFF 0x6
controlword sm_switch_on 0xFFFF 0x7
controlword sm_enable_operation 0xFFFF 0xF
controlword start_homing|enable_ip_mode 0xFFFF 0x1f
controlword reset_fault_0 0xFFFF 0x00
controlword reset_fault_1 0xFFFF 0x80
statusword not_ready_to_switch_on 0x004F 0
statusword switch_on_disabled 0x004F 0x0040
statusword ready_to_switch_on 0x006F 0x0021
statusword switched_on 0x006F 0x0023
statusword operation_enable 0x006F 0x0027
statusword quick_stop_active 0x006F 0x0007
statusword fault_reaction_active 0x004F 0x000F
statusword fault_ds402 0x004F 0x0008
statusword voltage_enabled 0x0010 0x0010
statusword warning 0x0080 0x0080
statusword drive_is_moving 0x0100 0x0100
statusword remote 0x0200 0x0200
statusword target_reached 0x0400 0x0400
statusword internal_limit_active 0x0800 0x0800
statusword set_point_acknowledge/speed_0/homing_attained/ip_mode_active 0x1000 0x1000
statusword following_error/homing_error 0x2000 0x2000
statusword manufacturer_statusbit 0x4000 0x4000
statusword drive_referenced 0x8000 0x8000
modes_of_operation homing_mode 0xFF 6
modes_of_operation profile_position_mode 0xFF 1
modes_of_operation velocity_mode 0xFF 2
modes_of_operation profile_velocity_mode 0xFF 3
modes_of_operation torque_profile_mode 0xFF 4
modes_of_operation interpolated_position_mode 0xFF 7
modes_of_operation_display homing_mode 0xFF 6
modes_of_operation_display profile_position_mode 0xFF 1
modes_of_operation_display velocity_mode 0xFF 2
modes_of_operation_display profile_velocity_mode 0xFF 3
modes_of_operation_display torque_profile_mode 0xFF 4
modes_of_operation_display interpolated_position_mode 0xFF 7
ip_time_index milliseconds 0xFF 0xFD
ip_time_index hundredmicroseconds 0xFF 0xFC
